MON_FIXED,MON_SCHOOL_DEPART,MON_STATION_DEPART,TUE_FIXED,TUE_SCHOOL_DEPART,TUE_STATION_DEPART,WED_FIXED,WED_SCHOOL_DEPART,WED_STATION_DEPART,THU_FIXED,THU_SCHOOL_DEPART,THU_STATION_DEPART,FRI_FIXED,FRI_SCHOOL_DEPART,FRI_STATION_DEPART
False,16:27:00,09:43:00,False,16:27:00,09:43:00,False,16:15:00,09:37:00,False,16:15:00,09:15:00,False,16:15:00,09:15:00
True,8:00,8:15,True,8:00,8:15,True,8:00,8:15,True,8:00,8:15,True,8:00,8:15
False,16:27:00,09:48:00,False,16:27:00,09:48:00,False,16:15:00,09:42:00,False,16:15:00,09:21:00,False,16:15:00,09:21:00
False,16:27:00,09:48:00,False,16:27:00,09:48:00,False,16:15:00,09:42:00,False,16:15:00,09:21:00,False,16:15:00,09:21:00
True,8:05,8:20,True,8:05,8:20,True,8:05,8:20,True,8:05,8:20,True,8:05,8:20
False,16:27:00,09:48:00,False,16:27:00,09:48:00,False,16:15:00,09:42:00,False,16:15:00,09:21:00,False,16:15:00,09:21:00
False,16:27:00,09:48:00,False,16:27:00,09:48:00,False,16:15:00,09:42:00,False,16:15:00,09:21:00,False,16:15:00,09:21:00
True,9:05,9:15,True,9:05,9:15,True,9:05,9:15,True,9:05,9:15,True,9:05,9:15
False,16:27:00,09:44:00,False,16:27:00,09:44:00,False,16:15:00,09:38:00,False,16:15:00,09:17:00,False,16:15:00,09:17:00
True,9:10,9:20,True,9:10,9:20,True,9:10,9:20,True,9:10,9:20,True,9:10,9:20
False,16:27:00,10:03:00,False,16:27:00,10:02:00,False,16:15:00,09:57:00,False,16:15:00,09:35:00,False,16:15:00,09:35:00
True,10:00,10:15,True,10:00,10:15,True,10:00,10:15,True,10:00,10:15,True,10:00,10:15
False,16:27:00,10:07:00,False,16:27:00,10:07:00,False,16:15:00,10:02:00,False,16:15:00,09:41:00,False,16:15:00,09:41:00
False,16:27:00,10:07:00,False,16:27:00,10:07:00,False,16:15:00,10:02:00,False,16:15:00,09:41:00,False,16:15:00,09:41:00
True,10:05,10:20,True,10:05,10:20,True,10:05,10:20,True,10:05,10:20,True,10:05,10:20
True,12:00,12:15,True,12:00,12:15,True,12:00,12:15,True,12:00,12:15,True,12:00,12:15
True,13:00,13:15,True,13:00,13:15,True,13:00,13:15,True,13:00,13:15,True,13:00,13:15
True,14:00,14:15,True,14:00,14:15,True,14:00,14:15,True,14:00,14:15,True,14:00,14:15
False,16:27:00,11:28:00,False,16:27:00,11:28:00,False,16:15:00,11:30:00,False,16:15:00,11:16:00,False,16:15:00,11:16:00
True,15:15,15:30,True,15:15,15:30,True,15:15,15:30,True,15:15,15:30,True,15:15,15:30
False,16:27:00,11:28:00,False,16:27:00,11:28:00,False,16:15:00,11:30:00,False,16:15:00,11:17:00,False,16:15:00,11:17:00
False,16:27:00,11:28:00,False,16:27:00,11:28:00,False,16:15:00,11:30:00,False,16:15:00,11:17:00,False,16:15:00,11:17:00
True,16:15,16:30,True,16:15,16:30,True,16:15,16:30,True,16:15,16:30,True,16:15,16:30
False,16:57:00,11:28:00,False,16:57:00,11:28:00,False,16:45:00,11:30:00,False,16:45:00,11:17:00,False,16:45:00,11:17:00
False,16:57:00,11:28:00,False,16:57:00,11:28:00,False,16:45:00,11:30:00,False,16:45:00,11:17:00,False,16:45:00,11:17:00
False,16:57:00,11:28:00,False,16:57:00,11:28:00,False,16:45:00,11:30:00,False,16:45:00,11:17:00,False,16:45:00,11:17:00
True,17:15,17:30,True,17:15,17:30,True,17:15,17:30,True,17:15,17:30,True,17:15,17:30
False,16:45:00,11:28:00,False,16:45:00,11:28:00,False,16:33:00,11:30:00,False,16:33:00,11:16:00,False,16:33:00,11:16:00
True,18:15,18:30,True,18:15,18:30,True,18:15,18:30,True,18:15,18:30,True,18:15,18:30
True,19:15,19:30,True,19:15,19:30,True,19:15,19:30,True,19:15,19:30,True,19:15,19:30
