MON_FIXED,MON_SCHOOL_DEPART,MON_STATION_DEPART,MON_SCHOOL_ARRIVE,TUE_FIXED,TUE_SCHOOL_DEPART,TUE_STATION_DEPART,TUE_SCHOOL_ARRIVE,WED_FIXED,WED_SCHOOL_DEPART,WED_STATION_DEPART,WED_SCHOOL_ARRIVE,THU_FIXED,THU_SCHOOL_DEPART,THU_STATION_DEPART,THU_SCHOOL_ARRIVE,FRI_FIXED,FRI_SCHOOL_DEPART,FRI_STATION_DEPART,FRI_SCHOOL_ARRIVE
FALSE,7:55,8:10,8:29,FALSE,7:55,8:10,8:29,FALSE,7:55,8:10,8:29,FALSE,7:55,8:10,8:29,FALSE,7:55,8:10,8:29
TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30
FALSE,8:02,8:17,8:35,FALSE,8:02,8:17,8:35,FALSE,8:02,8:17,8:35,FALSE,8:02,8:17,8:35,FALSE,8:02,8:17,8:35
FALSE,8:04,8:19,8:36,FALSE,8:04,8:19,8:36,FALSE,8:04,8:19,8:36,FALSE,8:04,8:19,8:36,FALSE,8:04,8:19,8:36
TRUE,8:05,8:20,8:37,TRUE,8:05,8:20,8:37,TRUE,8:05,8:20,8:37,TRUE,8:05,8:20,8:37,TRUE,8:05,8:20,8:37
FALSE,8:55,9:05,9:19,FALSE,8:55,9:05,9:19,FALSE,8:55,9:05,9:19,FALSE,8:55,9:05,9:19,FALSE,8:55,9:05,9:19
FALSE,9:00,9:10,9:26,FALSE,9:00,9:10,9:26,FALSE,9:00,9:10,9:26,FALSE,9:00,9:10,9:26,FALSE,9:00,9:10,9:26
TRUE,9:05,9:15,9:30,TRUE,9:05,9:15,9:30,TRUE,9:05,9:15,9:30,TRUE,9:05,9:15,9:30,TRUE,9:05,9:15,9:30
FALSE,9:08,9:18,9:35,FALSE,9:08,9:18,9:35,FALSE,9:08,9:18,9:35,FALSE,9:08,9:18,9:35,FALSE,9:08,9:18,9:35
TRUE,9:10,9:20,9:36,TRUE,9:10,9:20,9:36,TRUE,9:10,9:20,9:36,TRUE,9:10,9:20,9:36,TRUE,9:10,9:20,9:36
FALSE,9:50,10:05,10:19,FALSE,9:50,10:05,10:19,FALSE,9:50,10:05,10:19,FALSE,9:50,10:05,10:19,FALSE,9:50,10:05,10:19
TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30
FALSE,10:02,10:17,10:35,FALSE,10:02,10:17,10:35,FALSE,10:02,10:17,10:35,FALSE,10:02,10:17,10:35,FALSE,10:02,10:17,10:35
FALSE,10:04,10:19,10:36,FALSE,10:04,10:19,10:36,FALSE,10:04,10:19,10:36,FALSE,10:04,10:19,10:36,FALSE,10:04,10:19,10:36
TRUE,10:05,10:20,10:37,TRUE,10:05,10:20,10:37,TRUE,10:05,10:20,10:37,TRUE,10:05,10:20,10:37,TRUE,10:05,10:20,10:37
TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30
