DAY,DEPART_TIME,DEPART_AT
MON,10:07,STA
MON,16:54,SCH
MON,17:02,SCH
TUE,10:03,STA
WED,12:14,STA
WED,15:56,SCH
THU,9:09,STA
MON,16:56,SCH
THU,9:06,STA
